,product url,ranking,brand,product name,number of ratings,star rating,price(in dollar),color,Department
0,https://www.amazon.com/Amazon-Basics-Leak-proof-Quick-dry-Training/dp/B00MW8G62E/ref=zg_bs_g_pet-supplies_d_sccl_1/131-5786334-0924039?psc=1,#1,Basics,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Standard Absorbency, Regular Size, 22 x 22 Inches, Pack of 100, Blue & White","250,328",4.5,20.83,Blue & White,Pet Supplies
1,https://www.amazon.com/Purina-Fancy-Feast-Delights-Collection/dp/B00J2DRUYA/ref=zg_bs_g_pet-supplies_d_sccl_2/131-5786334-0924039?psc=1,#2,Feast,"Purina Fancy Feast Delights with Cheddar Grilled Chicken, Turkey or Whitefish and Cheddar Cheese Feast in Gravy Wet Cat Food Variety Pack - (Pack of 24) 3 oz. Cans","69,428",4.5,19.99,Color not available,Pet Supplies
2,https://www.amazon.com/Earth-Rated-Lavender-Scented-Completely/dp/B00BSYR7K8/ref=zg_bs_g_pet-supplies_d_sccl_3/131-5786334-0924039?psc=1,#3,Rated,Earth Rated Dog Poop Bags - Leak-Proof and Extra-Thick Pet Waste Bags for Big and Small Dogs - Refill Rolls - Lavender Scented - 270 Count,"218,082",4.7,13.99,Lavender-Scented,Pet Supplies
3,https://www.amazon.com/Dr-Elseys-Precious-Ultra-Litter/dp/B0009X0QSY/ref=zg_bs_g_pet-supplies_d_sccl_4/131-5786334-0924039?psc=1,#4,Elsey's,"Dr. Elsey's Precious Cat Ultra Cat Litter, 18 pound bag","74,511",4.4,17.84,Color not available,Pet Supplies
4,https://www.amazon.com/Purina-Friskies-Poultry-Adult-Variety/dp/B00283MYSI/ref=zg_bs_g_pet-supplies_d_sccl_5/131-5786334-0924039?psc=1,#5,Friskies,"Purina Friskies Gravy Wet Cat Food , Poultry Shreds - (32) 5.5 oz. Cans","102,342",4.5,22.49,Color not available,Pet Supplies
5,https://www.amazon.com/Arm-Hammer-Platinum-Clean-Up-Multi-Cat/dp/B089LLHMQL/ref=zg_bs_g_pet-supplies_d_sccl_6/131-5786334-0924039?psc=1,#6,Hammer,"Arm Hammer SLIDE Platinum Multi-Cat Easy Clean-Up Clumping Cat Litter, 14 Days of Odor Control 18 lb","35,960",4.4,17.99,Color not available,Pet Supplies
6,https://www.amazon.com/Purina-Fancy-Feast-Grilled-Collection/dp/B001STX13U/ref=zg_bs_g_pet-supplies_d_sccl_7/131-5786334-0924039?psc=1,#7,Feast,Purina Fancy Feast Grilled Wet Cat Food Seafood Collection in Wet Cat Food Variety Pack - (Pack of 24) 3 oz. Cans,"51,530",4.5,17.99,Color not available,Pet Supplies
7,https://www.amazon.com/Blue-Buffalo-Protection-Formula-Adult/dp/B0009YWKUA/ref=zg_bs_g_pet-supplies_d_sccl_8/131-5786334-0924039?psc=1,#8,Buffalo,"Blue Buffalo Life Protection Formula Natural Adult Dry Dog Food, Chicken and Brown Rice 30-lb","42,675",4.5,64.98,Color not available,Pet Supplies
8,https://www.amazon.com/Fresh-Step-Multi-Cat-Febreze-Shield/dp/B000VDR8LA/ref=zg_bs_g_pet-supplies_d_sccl_9/131-5786334-0924039?psc=1,#9,Step,"Fresh Step Clumping Cat Litter, Multi-Cat Odor Control, 14 lbs","84,697",4.4,10.49,Color not available,Pet Supplies
9,https://www.amazon.com/AmazonBasics-Waste-Bags-Dispenser-Leash/dp/B00NABTC8M/ref=zg_bs_g_pet-supplies_d_sccl_10/131-5786334-0924039?psc=1,#10,Basics,"Amazon Basics Standard Dog Poop Bags With Dispenser and Leash Clip, Unscented, 300 Count, 20 Pack of 15, Black, 13 Inch x 9 Inch","192,193",4.7,8.80,Black,Pet Supplies
10,https://www.amazon.com/Purina-Fancy-Feast-Seafood-Classic/dp/B0010B3FIC/ref=zg_bs_g_pet-supplies_d_sccl_11/131-5786334-0924039?psc=1,#11,Feast,Purina Fancy Feast Seafood Classic Pate Collection Grain Free Wet Cat Food Variety Pack - (Pack of 24) 3 oz. Cans,"52,646",4.5,14.88,Color not available,Pet Supplies
11,https://www.amazon.com/Temptations-Treats-Chicken-Flavor-Holiday/dp/B01LNB6SA0/ref=zg_bs_g_pet-supplies_d_sccl_12/131-5786334-0924039?psc=1,#12,Temptations,"TEMPTATIONS Classic Crunchy and Soft Cat Treats Tasty Chicken Flavor, 30 oz. Tub","66,124",4.5,15.48,Color not available,Pet Supplies
12,https://www.amazon.com/Pooph-Odor-Eliminator-32oz-Spray/dp/B09PF4KVHJ/ref=zg_bs_g_pet-supplies_d_sccl_13/131-5786334-0924039?psc=1,#13,Pooph,"Pooph Pet Odor Eliminator, 32oz Spray - Dismantles Odors on a Molecular Basis, Dogs, Cats, Freshener, Urine, Poop, Pee, Deodorizer, Natures, Puppy, Fresh, Clean, Furniture, Potty, Safe","32,137",4.3,23.97,Clear,Pet Supplies
13,https://www.amazon.com/Purina-Veterinary-Fortiflora-Nutritional-Supplement/dp/B001650NNW/ref=zg_bs_g_pet-supplies_d_sccl_14/131-5786334-0924039?psc=1,#14,Diets,"Purina Pro Plan Veterinary Supplements FortiFlora Dog Probiotic Supplement, Canine Nutritional Supplement - (1) 30 ct. Boxes","40,044",4.4,30.99,Color not available,Pet Supplies
14,https://www.amazon.com/Blink-Mini-White-1Cam/dp/B07X6C9RMF/ref=zg_bs_g_pet-supplies_d_sccl_15/131-5786334-0924039?psc=1,#15,Brand data not available,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)","276,397",4.5,29.99,Color not available,Pet Supplies
15,https://www.amazon.com/INABA-Chicken-Lickable-Creamy-Variety/dp/B07D323MFZ/ref=zg_bs_g_pet-supplies_d_sccl_16/131-5786334-0924039?psc=1,#16,INABA,"INABA Churu Cat Treats, Grain-Free, Lickable, Squeezable Creamy Purée Cat Treat/Topper with Vitamin E & Taurine, 0.5 Ounces Each Tube, 50 Tubes, Tuna & Chicken Variety","35,704",4.4,30.72,Color not available,Pet Supplies
16,https://www.amazon.com/GREENIES-Original-Regular-Natural-Dental/dp/B006W6YHHI/ref=zg_bs_g_pet-supplies_d_sccl_17/131-5786334-0924039?psc=1,#17,Greenies,"Greenies Original Regular Natural Dog Dental Care Chews Oral Health Dog Treats, 36 count (Pack of 1)","66,486",4.6,38.99,Color not available,Pet Supplies
17,https://www.amazon.com/PERFECT-PORTIONS-Servings-Signature-Twin-Pack/dp/B075QK5SP2/ref=zg_bs_g_pet-supplies_d_sccl_18/131-5786334-0924039?psc=1,#18,Sheba,"SHEBA PERFECT PORTIONS Paté Adult Wet Cat Food Trays (24 Count, 48 Servings), Signature Seafood Entrée, Easy Peel Twin-Pack Trays","63,816",4.6,25.19,Color not available,Pet Supplies
18,https://www.amazon.com/Cosequin-DS-Maximum-Strength-Chewable/dp/B003ULL1NQ/ref=zg_bs_g_pet-supplies_d_sccl_19/131-5786334-0924039?psc=1,#19,Laboratories,"Nutramax Laboratories Cosequin Maximum Strength Joint Health Supplement for Dogs - With Glucosamine, Chondroitin, and MSM, 132 Chewable Tablets","65,049",4.3,31.01,Color not available,Pet Supplies
19,https://www.amazon.com/Purina-Friskies-Meaty-Adult-Variety/dp/B002CJG2H2/ref=zg_bs_g_pet-supplies_d_sccl_20/131-5786334-0924039?psc=1,#20,Friskies,"Purina Friskies Gravy Wet Cat Food Variety Pack, Meaty Bits - (Pack of 24) 5.5 oz. Cans","66,286",4.5,18.59,Color not available,Pet Supplies
20,https://www.amazon.com/Purina-ONE-Food-Lamb-Formula/dp/B009IOCCD2/ref=zg_bs_g_pet-supplies_d_sccl_21/131-5786334-0924039?psc=1,#21,ONE,Purina ONE Dry Dog Food Lamb and Rice Formula - 31.1 lb. Bag,"43,197",4.7,48.98,Color not available,Pet Supplies
21,https://www.amazon.com/Milk-Bone-Marosnacks-Treats-Sizes-40-Ounce/dp/B003PMQMK2/ref=zg_bs_g_pet-supplies_d_sccl_22/131-5786334-0924039?psc=1,#22,Milk-Bone,"Milk-Bone MaroSnacks Dog Treats, Beef, 40 Ounce","75,767",4.6,11.38,Color not available,Pet Supplies
